diversion_flows		
channel	month	flow
863	7	3531.47
863	8	3531.47
863	9	3531.47
863	10	3531.47
863	11	3531.47
863	12	3531.47
863	1	3531.47
863	2	3531.47
863	3	0
906	4	0
906	5	0
906	6	0
906	7	3531.47
906	8	3531.47
906	9	3531.47
906	10	3531.47
906	11	3531.47
906	12	3531.47
906	1	3531.47
906	2	3531.47
906	3	0
821	4	0
821	5	0
821	6	3531.47
821	7	3531.47
821	8	3531.47
821	9	3531.47
821	10	3531.47
821	11	3531.47
821	12	3531.47
821	1	0
821	2	0
821	3	0
907	4	0
907	5	0
907	6	0
907	7	3531.47
907	8	3531.47
907	9	3531.47
907	10	3531.47
907	11	3531.47
907	12	3531.47
907	1	3531.47
907	2	3531.47
907	3	0
908	4	0
908	5	0
908	6	0
908	7	3531.47
908	8	3531.47
908	9	3531.47
908	10	3531.47
908	11	3531.47
908	12	3531.47
908	1	3531.47
908	2	3531.47
908	3	0
909	4	0
909	5	0
909	6	0
909	7	3531.47
909	8	3531.47
909	9	3531.47
909	10	3531.47
909	11	3531.47
909	12	3531.47
909	1	3531.47
909	2	3531.47
909	3	0
910	4	0
910	5	0
910	6	0
910	7	3531.47
910	8	3531.47
910	9	3531.47
910	10	3531.47
910	11	3531.47
910	12	3531.47
910	1	3531.47
910	2	3531.47
910	3	0
823	4	0
823	5	0
823	6	0
823	7	3531.47
823	8	3531.47
823	9	3531.47
823	10	3531.47
823	11	3531.47
823	12	3531.47
823	1	3531.47
823	2	3531.47
823	3	0
911	4	0
911	5	0
911	6	0
911	7	3531.47
911	8	3531.47
911	9	3531.47
911	10	3531.47
911	11	3531.47
911	12	3531.47
911	1	3531.47
911	2	3531.47
911	3	0
912	4	0
912	5	0
912	6	0
912	7	3531.47
912	8	3531.47
912	9	3531.47
912	10	3531.47
912	11	3531.47
912	12	3531.47
912	1	3531.47
912	2	3531.47
912	3	0
913	4	0
913	5	0
913	6	0
913	7	3531.47
913	8	3531.47
913	9	3531.47
913	10	3531.47
913	11	3531.47
913	12	3531.47
913	1	3531.47
913	2	3531.47
913	3	0
853	4	0
853	5	0
853	6	0
853	7	3531.47
853	8	3531.47
853	9	3531.47
853	10	3531.47
853	11	3531.47
853	12	3531.47
853	1	3531.47
853	2	3531.47
853	3	0
944	4	0
944	5	0
944	6	0
944	7	3531.47
944	8	3531.47
944	9	3531.47
944	10	3531.47
944	11	3531.47
944	12	3531.47
944	1	3531.47
944	2	3531.47
944	3	0
945	4	0
945	5	0
945	6	0
945	7	3531.47
945	8	3531.47
945	9	3531.47
945	10	3531.47
945	11	3531.47
945	12	3531.47
945	1	3531.47
945	2	3531.47
945	3	0
946	4	0
946	5	0
946	6	0
946	7	3531.47
946	8	3531.47
946	9	3531.47
946	10	3531.47
946	11	3531.47
946	12	3531.47
946	1	3531.47
946	2	3531.47
946	3	0
947	4	0
947	5	0
947	6	0
947	7	3531.47
947	8	3531.47
947	9	3531.47
947	10	3531.47
947	11	3531.47
947	12	3531.47
947	1	3531.47
947	2	3531.47
947	3	0
948	4	0
948	5	0
948	6	0
948	7	3531.47
948	8	3531.47
948	9	3531.47
948	10	3531.47
948	11	3531.47
948	12	3531.47
948	1	3531.47
948	2	3531.47
948	3	0
949	4	0
949	5	0
949	6	0
949	7	3531.47
949	8	3531.47
949	9	3531.47
949	10	3531.47
949	11	3531.47
949	12	3531.47
949	1	3531.47
949	2	3531.47
949	3	0
930	4	0
930	5	0
930	6	0
930	7	3531.47
930	8	3531.47
930	9	3531.47
930	10	3531.47
930	11	3531.47
930	12	3531.47
930	1	3531.47
930	2	3531.47
930	3	0
931	4	0
931	5	0
931	6	0
931	7	3531.47
931	8	3531.47
931	9	3531.47
931	10	3531.47
931	11	3531.47
931	12	3531.47
931	1	3531.47
931	2	3531.47
931	3	0
544	4	0
544	5	0
544	6	0
544	7	3531.47
544	8	3531.47
544	9	3531.47
544	10	3531.47
544	11	3531.47
544	12	3531.47
544	1	3531.47
544	2	3531.47
544	3	0
959	4	0
959	5	0
959	6	0
959	7	3531.47
959	8	3531.47
959	9	3531.47
959	10	3531.47
959	11	3531.47
959	12	3531.47
959	1	3531.47
959	2	3531.47
959	3	0
932	4	0
932	5	0
932	6	0
932	7	3531.47
932	8	3531.47
932	9	3531.47
932	10	3531.47
932	11	3531.47
932	12	3531.47
932	1	3531.47
932	2	3531.47
932	3	0
964	4	0
964	5	0
964	6	0
964	7	3531.47
964	8	3531.47
964	9	3531.47
964	10	3531.47
964	11	3531.47
964	12	3531.47
964	1	3531.47
964	2	3531.47
964	3	0
965	4	0
965	5	0
965	6	0
965	7	3531.47
965	8	3531.47
965	9	3531.47
965	10	3531.47
965	11	3531.47
965	12	3531.47
965	1	3531.47
965	2	3531.47
965	3	0
966	4	0
966	5	0
966	6	0
966	7	3531.47
966	8	3531.47
966	9	3531.47
966	10	3531.47
