NNo,TSIndex,Inflow,Gw_In,Flow_Thru,Rout_Ret
65,23,0,0,0,0
66,23,0,0,0,0
67,23,0,0,0,0
68,23,0,0,0,0
69,23,0,0,0,0
70,23,0,0,0,0
71,23,0,0,0,0
2,24,41368.32,0,0,0
3,24,0,0,0,0
4,24,0,0,0,0
5,24,0,0,0,0
6,24,0,0,0,0
7,24,59385.311999999998,0,0,0
8,24,0,0,0,0
9,24,0,0,0,0
10,24,0,0,0,0
11,24,0,0,0,0
12,24,0,0,0,0
13,24,0,0,0,0
14,24,0,0,514.08000000000004,0
15,24,0,0,0,0
16,24,0,0,0,0
17,24,0,0,0,0
25,24,0,0,0,0
32,24,0,0,0,0
35,24,0,0,171.15799999999999,0
39,24,0,0,0,0
43,24,0,0,0,0
51,24,0,0,342.31700000000001,0
52,24,0,0,0,0
53,24,1618.4449999999999,0,0,0
54,24,544.32000000000005,0,0,0
55,24,3810.2399999999998,0,0,0
56,24,521.94200000000001,0,0,0
57,24,456.01900000000001,0,0,0
60,24,0,0,410.05399999999997,0
61,24,846.72000000000003,0,0,0
62,24,0,0,0,0
63,24,0,0,0,0
64,24,0,0,0,0
65,24,0,0,0,0
66,24,0,0,0,0
67,24,0,0,0,0
68,24,0,0,0,0
69,24,0,0,0,0
70,24,0,0,0,0
71,24,0,0,0,0
2,25,33100.099000000002,0,0,0
3,25,0,0,0,0
4,25,0,0,0,0
5,25,0,0,0,0
6,25,0,0,0,0
7,25,46680.883000000002,0,0,0
8,25,0,0,0,0
9,25,0,0,0,0
10,25,0,0,0,0
11,25,0,0,0,0
12,25,0,0,0,0
13,25,0,0,0,0
14,25,0,0,514.08000000000004,0
15,25,0,0,0,0
16,25,0,0,0,0
